,Tweet ID,Conversation ID,Username,Date,Text,URL,Origin,Likes,Replies,Retweets,Quotes,Negative Sentiment Score,Neutral Sentiment Score,Positive Sentiment Score,Compound Sentiment Score
139,1603684603029442560,1603578408260313091,milonorm,2022-12-16 10:32:59,"@JChengWSJ @LiYuan6 ""Everybody I talked to"", this means I made it up 😂",https://twitter.com/milonorm/status/1603684603029442560,reply,3,0,1,0,0.0,1.0,0.0,0.0
140,1603678558748119045,1603578408260313091,leninrolls,2022-12-16 10:08:57,@JChengWSJ @LiYuan6 any apologies forthcoming for this?  https://t.co/3UoHudUIXy,https://twitter.com/leninrolls/status/1603678558748119045,reply,3,0,2,0,0.0,1.0,0.0,0.0
141,1603675508520103937,1603578408260313091,qqarsondial,2022-12-16 09:56:50,"@JChengWSJ @LiYuan6 Jon, go screw yourself you liar.",https://twitter.com/qqarsondial/status/1603675508520103937,reply,0,0,0,0,0.439,0.561,0.0,-0.5719
142,1603674211339210752,1603578408260313091,LightmanYL,2022-12-16 09:51:41,"@JChengWSJ @LiYuan6 ""Everyone I talk to""... Yeah like 10 people. Out of 1.4 billions. Whorenourlists don't even pretend anymore.",https://twitter.com/LightmanYL/status/1603674211339210752,reply,0,0,0,0,0.0,0.714,0.286,0.6119
143,1603670713197424640,1603578408260313091,PeterWa96500816,2022-12-16 09:37:47,@JChengWSJ @LiYuan6 Chinese government should apologize for over one million death?,https://twitter.com/PeterWa96500816/status/1603670713197424640,reply,0,0,0,0,0.273,0.629,0.098,-0.5423
144,1603669411168411648,1603578408260313091,FloralMarch,2022-12-16 09:32:37,@JChengWSJ @LiYuan6 hey jonathan have you apologised for traumatising me with your and your friends' bad takes? have your employer wsj apologised for erroneous and racist reporting/columns?,https://twitter.com/FloralMarch/status/1603669411168411648,reply,1,0,0,0,0.344,0.507,0.15,-0.8645
145,1603665959113334786,1603578408260313091,mccaffrey_owen,2022-12-16 09:18:53,@JChengWSJ @LiYuan6 Has any of the other governments in the world apologised for their COVID brutality?,https://twitter.com/mccaffrey_owen/status/1603665959113334786,reply,1,0,0,0,0.206,0.722,0.072,-0.5574
146,1603664524950863873,1603578408260313091,PanShulan,2022-12-16 09:13:12,@JChengWSJ @LiYuan6 我道你妈逼，你个垃圾，美国政府弄死了百多万人，中国政府保护了十几亿人 fuck u,https://twitter.com/PanShulan/status/1603664524950863873,reply,0,0,0,0,0.538,0.462,0.0,-0.5423
147,1603659944430931968,1603578408260313091,_redcoloratura_,2022-12-16 08:54:59,@JChengWSJ @LiYuan6 Penis,https://twitter.com/_redcoloratura_/status/1603659944430931968,reply,1,0,0,0,0.0,1.0,0.0,0.0
148,1603659925548253184,1603578408260313091,JakeTran19,2022-12-16 08:54:55,@JChengWSJ @LiYuan6 Daily lies from the Western house slaves.,https://twitter.com/JakeTran19/status/1603659925548253184,reply,9,0,1,0,0.259,0.741,0.0,-0.4215
149,1603659738146672640,1603578408260313091,DanielOlimac,2022-12-16 08:54:10,"@JChengWSJ @LiYuan6 I fully support this article, just because it's too entertaining to see all the uptight ""China watchers"" on Twitter getting triggered and trying to show how they know more about their neighbors mind than anyone else lol (didn't open the article).",https://twitter.com/DanielOlimac/status/1603659738146672640,reply,2,0,0,0,0.053,0.771,0.176,0.7264
150,1603658041886330880,1603578408260313091,RshallAve,2022-12-16 08:47:26,"@JChengWSJ @LiYuan6 “everyone I talked to was a Fa Lun Gong..""",https://twitter.com/RshallAve/status/1603658041886330880,reply,1,0,0,0,0.0,1.0,0.0,0.0
